unique_id,ds,y
M3M_0001,1990-01-01,141.0
M3M_0001,1990-02-01,64.0
M3M_0001,1990-03-01,117.0
M3M_0001,1990-04-01,81.0
M3M_0001,1990-05-01,103.0
M3M_0001,1990-06-01,97.0
M3M_0001,1990-07-01,158.0
M3M_0001,1990-08-01,155.0
M3M_0001,1990-09-01,131.0
M3M_0001,1990-10-01,177.0
M3M_0001,1990-11-01,70.0
M3M_0001,1990-12-01,145.0
M3M_0001,1991-01-01,138.0
M3M_0001,1991-02-01,68.0
M3M_0001,1991-03-01,172.0
M3M_0001,1991-04-01,167.0
M3M_0001,1991-05-01,136.0
M3M_0001,1991-06-01,135.0
M3M_0001,1991-07-01,92.0
M3M_0001,1991-08-01,68.0
M3M_0001,1991-09-01,117.0
M3M_0001,1991-10-01,113.0
M3M_0001,1991-11-01,172.0
M3M_0001,1991-12-01,165.0
M3M_0001,1992-01-01,159.0
M3M_0001,1992-02-01,108.0
M3M_0001,1992-03-01,50.0
M3M_0001,1992-04-01,158.0
M3M_0001,1992-05-01,94.0
M3M_0001,1992-06-01,192.0
M3M_0001,1992-07-01,90.0
M3M_0001,1992-08-01,131.0
M3M_0001,1992-09-01,119.0
M3M_0001,1992-10-01,144.0
M3M_0001,1992-11-01,100.0
M3M_0001,1992-12-01,64.0
M3M_0001,1993-01-01,147.0
M3M_0001,1993-02-01,156.0
M3M_0001,1993-03-01,157.0
M3M_0001,1993-04-01,197.0
M3M_0001,1993-05-01,142.0
M3M_0001,1993-06-01,194.0
M3M_0001,1993-07-01,54.0
M3M_0001,1993-08-01,52.0
M3M_0001,1993-09-01,60.0
M3M_0001,1993-10-01,199.0
M3M_0001,1993-11-01,80.0
M3M_0001,1993-12-01,85.0
M3M_0001,1994-01-01,165.0
M3M_0001,1994-02-01,100.0
M3M_0001,1994-03-01,101.0
M3M_0001,1994-04-01,138.0
M3M_0001,1994-05-01,53.0
M3M_0001,1994-06-01,133.0
M3M_0001,1994-07-01,83.0
M3M_0001,1994-08-01,199.0
M3M_0001,1994-09-01,154.0
M3M_0001,1994-10-01,181.0
M3M_0001,1994-11-01,100.0
M3M_0001,1994-12-01,69.0
M3M_0001,1995-01-01,93.0
M3M_0001,1995-02-01,86.0
M3M_0001,1995-03-01,67.0
M3M_0001,1995-04-01,173.0
M3M_0001,1995-05-01,90.0
M3M_0001,1995-06-01,188.0
M3M_0001,1995-07-01,161.0
M3M_0001,1995-08-01,196.0
M3M_0001,1995-09-01,93.0
M3M_0001,1995-10-01,85.0
M3M_0001,1995-11-01,109.0
M3M_0001,1995-12-01,68.0
M3M_0001,1996-01-01,172.0
M3M_0001,1996-02-01,176.0
M3M_0001,1996-03-01,180.0
M3M_0001,1996-04-01,123.0
M3M_0001,1996-05-01,118.0
M3M_0001,1996-06-01,50.0
M3M_0001,1996-07-01,180.0
M3M_0001,1996-08-01,52.0
M3M_0001,1996-09-01,112.0
M3M_0001,1996-10-01,78.0
M3M_0001,1996-11-01,56.0
M3M_0001,1996-12-01,158.0
M3M_0001,1997-01-01,78.0
M3M_0001,1997-02-01,184.0
M3M_0001,1997-03-01,119.0
M3M_0001,1997-04-01,141.0
M3M_0001,1997-05-01,155.0
M3M_0001,1997-06-01,101.0
M3M_0001,1997-07-01,123.0
M3M_0001,1997-08-01,97.0
M3M_0001,1997-09-01,149.0
M3M_0001,1997-10-01,180.0
M3M_0001,1997-11-01,120.0
M3M_0001,1997-12-01,67.0
M3M_0001,1998-01-01,53.0
M3M_0001,1998-02-01,103.0
M3M_0001,1998-03-01,70.0
M3M_0001,1998-04-01,83.0
M3M_0001,1998-05-01,51.0
M3M_0001,1998-06-01,86.0
M3M_0001,1998-07-01,111.0
M3M_0001,1998-08-01,186.0
M3M_0001,1998-09-01,86.0
M3M_0001,1998-10-01,53.0
M3M_0001,1998-11-01,175.0
M3M_0001,1998-12-01,89.0
M3M_0001,1999-01-01,140.0
M3M_0001,1999-02-01,188.0
M3M_0001,1999-03-01,100.0
M3M_0001,1999-04-01,59.0
M3M_0001,1999-05-01,144.0
M3M_0001,1999-06-01,120.0
M3M_0001,1999-07-01,72.0
M3M_0001,1999-08-01,135.0
M3M_0001,1999-09-01,194.0
M3M_0001,1999-10-01,174.0
M3M_0001,1999-11-01,145.0
M3M_0001,1999-12-01,132.0
M3M_0001,2000-01-01,161.0
M3M_0001,2000-02-01,131.0
M3M_0001,2000-03-01,188.0
M3M_0001,2000-04-01,62.0
M3M_0001,2000-05-01,67.0
M3M_0001,2000-06-01,123.0
M3M_0002,1990-01-01,56.0
M3M_0002,1990-02-01,82.0
M3M_0002,1990-03-01,52.0
M3M_0002,1990-04-01,175.0
M3M_0002,1990-05-01,178.0
M3M_0002,1990-06-01,84.0
M3M_0002,1990-07-01,130.0
M3M_0002,1990-08-01,193.0
M3M_0002,1990-09-01,153.0
M3M_0002,1990-10-01,121.0
M3M_0002,1990-11-01,147.0
M3M_0002,1990-12-01,147.0
M3M_0002,1991-01-01,123.0
M3M_0002,1991-02-01,53.0
M3M_0002,1991-03-01,179.0
M3M_0002,1991-04-01,100.0
M3M_0002,1991-05-01,76.0
M3M_0002,1991-06-01,112.0
M3M_0002,1991-07-01,107.0
M3M_0002,1991-08-01,109.0
M3M_0002,1991-09-01,110.0
M3M_0002,1991-10-01,112.0
M3M_0002,1991-11-01,142.0
M3M_0002,1991-12-01,111.0
M3M_0002,1992-01-01,187.0
M3M_0002,1992-02-01,139.0
M3M_0002,1992-03-01,168.0
M3M_0002,1992-04-01,139.0
M3M_0002,1992-05-01,83.0
M3M_0002,1992-06-01,111.0
M3M_0002,1992-07-01,174.0
M3M_0002,1992-08-01,158.0
M3M_0002,1992-09-01,123.0
M3M_0002,1992-10-01,168.0
M3M_0002,1992-11-01,138.0
M3M_0002,1992-12-01,95.0
M3M_0002,1993-01-01,86.0
M3M_0002,1993-02-01,185.0
M3M_0002,1993-03-01,170.0
M3M_0002,1993-04-01,185.0
M3M_0002,1993-05-01,57.0
M3M_0002,1993-06-01,126.0
M3M_0002,1993-07-01,163.0
M3M_0002,1993-08-01,86.0
M3M_0002,1993-09-01,57.0
M3M_0002,1993-10-01,90.0
M3M_0002,1993-11-01,157.0
M3M_0002,1993-12-01,98.0
M3M_0002,1994-01-01,95.0
M3M_0002,1994-02-01,191.0
M3M_0002,1994-03-01,167.0
M3M_0002,1994-04-01,60.0
M3M_0002,1994-05-01,184.0
M3M_0002,1994-06-01,184.0
M3M_0002,1994-07-01,89.0
M3M_0002,1994-08-01,74.0
M3M_0002,1994-09-01,93.0
M3M_0002,1994-10-01,142.0
M3M_0002,1994-11-01,176.0
M3M_0002,1994-12-01,139.0
M3M_0002,1995-01-01,91.0
M3M_0002,1995-02-01,155.0
M3M_0002,1995-03-01,89.0
M3M_0002,1995-04-01,148.0
M3M_0002,1995-05-01,59.0
M3M_0002,1995-06-01,156.0
M3M_0002,1995-07-01,184.0
M3M_0002,1995-08-01,183.0
M3M_0002,1995-09-01,118.0
M3M_0002,1995-10-01,183.0
M3M_0002,1995-11-01,194.0
M3M_0002,1995-12-01,134.0
M3M_0002,1996-01-01,198.0
M3M_0002,1996-02-01,163.0
M3M_0002,1996-03-01,128.0
M3M_0002,1996-04-01,194.0
M3M_0002,1996-05-01,127.0
M3M_0002,1996-06-01,114.0
M3M_0002,1996-07-01,76.0
M3M_0002,1996-08-01,193.0
M3M_0002,1996-09-01,161.0
M3M_0002,1996-10-01,125.0
M3M_0002,1996-11-01,189.0
M3M_0002,1996-12-01,153.0
M3M_0002,1997-01-01,65.0
M3M_0002,1997-02-01,57.0
M3M_0002,1997-03-01,61.0
M3M_0002,1997-04-01,134.0
M3M_0002,1997-05-01,67.0
M3M_0002,1997-06-01,162.0
M3M_0002,1997-07-01,103.0
M3M_0002,1997-08-01,173.0
M3M_0002,1997-09-01,89.0
M3M_0002,1997-10-01,153.0
M3M_0002,1997-11-01,125.0
M3M_0002,1997-12-01,120.0
M3M_0002,1998-01-01,169.0
M3M_0002,1998-02-01,159.0
M3M_0002,1998-03-01,132.0
M3M_0002,1998-04-01,176.0
M3M_0002,1998-05-01,149.0
M3M_0002,1998-06-01,183.0
M3M_0002,1998-07-01,195.0
M3M_0002,1998-08-01,56.0
M3M_0002,1998-09-01,96.0
M3M_0002,1998-10-01,148.0
M3M_0002,1998-11-01,50.0
M3M_0002,1998-12-01,199.0
M3M_0002,1999-01-01,141.0
M3M_0002,1999-02-01,156.0
M3M_0002,1999-03-01,58.0
M3M_0002,1999-04-01,136.0
M3M_0002,1999-05-01,159.0
M3M_0002,1999-06-01,168.0
M3M_0002,1999-07-01,168.0
M3M_0002,1999-08-01,166.0
M3M_0002,1999-09-01,128.0
M3M_0002,1999-10-01,99.0
M3M_0002,1999-11-01,110.0
M3M_0002,1999-12-01,84.0
M3M_0002,2000-01-01,108.0
M3M_0002,2000-02-01,108.0
M3M_0002,2000-03-01,89.0
M3M_0002,2000-04-01,173.0
M3M_0002,2000-05-01,127.0
M3M_0002,2000-06-01,83.0
M3M_0003,1990-01-01,168.0
M3M_0003,1990-02-01,142.0
M3M_0003,1990-03-01,95.0
M3M_0003,1990-04-01,158.0
M3M_0003,1990-05-01,157.0
M3M_0003,1990-06-01,182.0
M3M_0003,1990-07-01,160.0
M3M_0003,1990-08-01,153.0
M3M_0003,1990-09-01,183.0
M3M_0003,1990-10-01,171.0
M3M_0003,1990-11-01,149.0
M3M_0003,1990-12-01,95.0
M3M_0003,1991-01-01,156.0
M3M_0003,1991-02-01,181.0
M3M_0003,1991-03-01,76.0
M3M_0003,1991-04-01,183.0
M3M_0003,1991-05-01,167.0
M3M_0003,1991-06-01,76.0
M3M_0003,1991-07-01,91.0
M3M_0003,1991-08-01,183.0
M3M_0003,1991-09-01,159.0
M3M_0003,1991-10-01,135.0
M3M_0003,1991-11-01,152.0
M3M_0003,1991-12-01,193.0
M3M_0003,1992-01-01,70.0
M3M_0003,1992-02-01,188.0
M3M_0003,1992-03-01,68.0
M3M_0003,1992-04-01,86.0
M3M_0003,1992-05-01,93.0
M3M_0003,1992-06-01,117.0
M3M_0003,1992-07-01,159.0
M3M_0003,1992-08-01,57.0
M3M_0003,1992-09-01,169.0
M3M_0003,1992-10-01,165.0
M3M_0003,1992-11-01,145.0
M3M_0003,1992-12-01,105.0
M3M_0003,1993-01-01,89.0
M3M_0003,1993-02-01,50.0
M3M_0003,1993-03-01,129.0
M3M_0003,1993-04-01,76.0
M3M_0003,1993-05-01,193.0
M3M_0003,1993-06-01,89.0
M3M_0003,1993-07-01,93.0
M3M_0003,1993-08-01,180.0
M3M_0003,1993-09-01,121.0
M3M_0003,1993-10-01,153.0
M3M_0003,1993-11-01,181.0
M3M_0003,1993-12-01,120.0
M3M_0003,1994-01-01,166.0
M3M_0003,1994-02-01,165.0
M3M_0003,1994-03-01,64.0
M3M_0003,1994-04-01,137.0
M3M_0003,1994-05-01,179.0
M3M_0003,1994-06-01,181.0
M3M_0003,1994-07-01,167.0
M3M_0003,1994-08-01,193.0
M3M_0003,1994-09-01,181.0
M3M_0003,1994-10-01,140.0
M3M_0003,1994-11-01,133.0
M3M_0003,1994-12-01,164.0
M3M_0003,1995-01-01,151.0
M3M_0003,1995-02-01,115.0
M3M_0003,1995-03-01,77.0
M3M_0003,1995-04-01,136.0
M3M_0003,1995-05-01,163.0
M3M_0003,1995-06-01,165.0
M3M_0003,1995-07-01,165.0
M3M_0003,1995-08-01,122.0
M3M_0003,1995-09-01,57.0
M3M_0003,1995-10-01,187.0
M3M_0003,1995-11-01,144.0
M3M_0003,1995-12-01,94.0
M3M_0003,1996-01-01,146.0
M3M_0003,1996-02-01,94.0
M3M_0003,1996-03-01,75.0
M3M_0003,1996-04-01,136.0
M3M_0003,1996-05-01,165.0
M3M_0003,1996-06-01,179.0
M3M_0003,1996-07-01,73.0
M3M_0003,1996-08-01,91.0
M3M_0003,1996-09-01,168.0
M3M_0003,1996-10-01,73.0
M3M_0003,1996-11-01,72.0
M3M_0003,1996-12-01,172.0
M3M_0003,1997-01-01,92.0
M3M_0003,1997-02-01,172.0
M3M_0003,1997-03-01,140.0
M3M_0003,1997-04-01,162.0
M3M_0003,1997-05-01,78.0
M3M_0003,1997-06-01,177.0
M3M_0003,1997-07-01,140.0
M3M_0003,1997-08-01,70.0
M3M_0003,1997-09-01,91.0
M3M_0003,1997-10-01,83.0
M3M_0003,1997-11-01,62.0
M3M_0003,1997-12-01,157.0
M3M_0003,1998-01-01,74.0
M3M_0003,1998-02-01,64.0
M3M_0003,1998-03-01,81.0
M3M_0003,1998-04-01,76.0
M3M_0003,1998-05-01,105.0
M3M_0003,1998-06-01,81.0
M3M_0003,1998-07-01,128.0
M3M_0003,1998-08-01,158.0
M3M_0003,1998-09-01,123.0
M3M_0003,1998-10-01,172.0
M3M_0003,1998-11-01,181.0
M3M_0003,1998-12-01,111.0
M3M_0003,1999-01-01,172.0
M3M_0003,1999-02-01,92.0
M3M_0003,1999-03-01,66.0
M3M_0003,1999-04-01,87.0
M3M_0003,1999-05-01,123.0
M3M_0003,1999-06-01,110.0
M3M_0003,1999-07-01,101.0
M3M_0003,1999-08-01,137.0
M3M_0003,1999-09-01,68.0
M3M_0003,1999-10-01,65.0
M3M_0003,1999-11-01,149.0
M3M_0003,1999-12-01,182.0
M3M_0003,2000-01-01,112.0
M3M_0003,2000-02-01,61.0
M3M_0003,2000-03-01,169.0
M3M_0003,2000-04-01,164.0
M3M_0003,2000-05-01,75.0
M3M_0003,2000-06-01,126.0
